"price_name","price_area","price_status","price_age","price_condition","price_bhk","price_bhk_url","price_location","price_location_url","price_builder","price_builder_url"
"37.49 L","872","Ready to move","0 - 1 year old","New","2","https://www.makaan.com/chennai/mp-developers-hirwa-in-sembakkam-16336483/2bhk-872-sqft-apartment","Sembakkam","https://www.makaan.com/chennai-property/sembakkam-flats-for-sale-54826","MP Developers","https://www.makaan.com/mp-developers-profile-1894231"
"93.54 L","1346","Under Construction","2 Bathrooms","New","3","https://www.makaan.com/chennai/dac-promoters-intellia-in-selaiyur-16339725/3bhk-2t-1346-sqft-apartment","Selaiyur","https://www.makaan.com/chennai-property/selaiyur-flats-for-sale-52047","DAC Promoters","https://www.makaan.com/dac-promoters-profile-2004229"
"1.51 Cr","2225","Under Construction","Possession by Oct 2022","New","3","https://www.makaan.com/chennai/casa-grande-realtors-llp-millenia-in-mogappair-16350579/3bhk-2225-sqft-apartment","Mogappair","https://www.makaan.com/chennai-property/mogappair-flats-for-sale-50314","Casagrand Builder Private Limited","https://www.makaan.com/casagrand-builder-private-limited-profile-1917913"
"49 L","1028","Ready to move","2 - 3 years old","2 Bathrooms","2","https://www.makaan.com/chennai/dugar-housing-builders-lake-dugar-in-ambattur-16329800/2bhk-2t-1028-sqft-apartment","Ambattur","https://www.makaan.com/chennai-property/ambattur-flats-for-sale-51076","Dugar Housing Builders","https://www.makaan.com/dugar-housing-builders-profile-100285659"
"42.28 L","588","Under Construction","Possession by Nov 2021","1 Bathrooms","2","https://www.makaan.com/chennai/radiance-realty-developers-the-pride-in-pallavaram-16326692/2bhk-1t-588-sqft-apartment","Pallavaram","https://www.makaan.com/chennai-property/pallavaram-flats-for-sale-50349","Radiance Realty Developers India Ltd","https://www.makaan.com/radiance-realty-developers-india-ltd-profile-1931016"
"1.88 Cr","2221","Under Construction","Possession by May 2022","3 Bathrooms","3","https://www.makaan.com/chennai/traventure-homes-triad-in-virugambakkam-16303598/3bhk-3t-2221-sqft-apartment","Virugambakkam","https://www.makaan.com/chennai-property/virugambakkam-flats-for-sale-51300","Traventure Homes Pvt Ltd","https://www.makaan.com/traventure-homes-pvt-ltd-profile-100103446"
"38 L","885","Under Construction","Possession by Mar 2024","New","3","https://www.makaan.com/chennai/urbanrise-projects-code-name-new-porur-in-thirumazhisai-16326119/3bhk-885-sqft-apartment","Thirumazhisai","https://www.makaan.com/chennai-property/thirumazhisai-flats-for-sale-51626","Urbanrise","https://www.makaan.com/urbanrise-profile-2114671"
"72.99 L","936","Ready to move","5 - 6 years old","New","3","https://www.makaan.com/chennai/navins-housing-whiteberry-in-moolakadai-16272625/3bhk-936-sqft-apartment","Moolakadai","https://www.makaan.com/chennai-property/moolakadai-flats-for-sale-52066","Navin Housing Properties P LTD","https://www.makaan.com/navin-housing-properties-p-ltd-profile-2091480"
"1.25 Cr","2275","Ready to move","0 - 1 year old","New","4","https://www.makaan.com/chennai/jones-foundations-cassia-phase-3-in-ottiyambakkam-16321209/4bhk-2275-sqft-villa","Ottiyambakkam","https://www.makaan.com/chennai-property/ottiyambakkam-flats-for-sale-75983","Jones foundation private limited","https://www.makaan.com/jones-foundation-private-limited-profile-1423363"
"24.56 L","622","Under Construction","Possession by Mar 2022","New","2","https://www.makaan.com/chennai/isha-homes-anandham-in-perungalathur-16292543/2bhk-622-sqft-apartment","Perungalathur","https://www.makaan.com/chennai-property/perungalathur-flats-for-sale-51578","Isha Homes","https://www.makaan.com/isha-homes-profile-1866557"
"67.87 L","1305","Under Construction","Possession by Mar 2022","New","3","https://www.makaan.com/chennai/kochar-homes-neetu-arjun-garden-in-gerugambakkam-16293772/3bhk-1305-sqft-apartment","Gerugambakkam","https://www.makaan.com/chennai-property/gerugambakkam-flats-for-sale-55747","Kochar Homes Pvt Ltd","https://www.makaan.com/kochar-homes-pvt-ltd-profile-100376145"
"2.4 Cr","1500","Ready to move","0 - 1 year old","3 Bathrooms","3","https://www.makaan.com/chennai/pushkar-properties-royale-nalantha-in-anna-nagar-16196088/3bhk-3t-1500-sqft-apartment","Anna Nagar","https://www.makaan.com/chennai-property/anna-nagar-flats-for-sale-50379","Pushkar Properties Pvt Ltd","https://www.makaan.com/pushkar-properties-pvt-ltd-profile-2012602"
"4.07 Cr","2200","Under Construction","Possession by Oct 2021","New","3","https://www.makaan.com/chennai/pushkar-properties-narayana-nilaya-in-gopalapuram-16185236/3bhk-2200-sqft-apartment","Gopalapuram","https://www.makaan.com/chennai-property/gopalapuram-flats-for-sale-51458","Pushkar Properties Pvt Ltd","https://www.makaan.com/pushkar-properties-pvt-ltd-profile-2122711"
"51.46 L","919","Under Construction","Possession by Mar 2022","New","2","https://www.makaan.com/chennai/asset-tree-homes-ath-cosmo-in-pammal-16233461/2bhk-919-sqft-apartment","Pammal","https://www.makaan.com/chennai-property/pammal-flats-for-sale-51831","Asset Tree Homes","https://www.makaan.com/asset-tree-homes-profile-1731056"
"69.47 L","965","Under Construction","Possession by Nov 2023","New","2","https://www.makaan.com/chennai/urban-tree-infrastructures-amaze-in-porur-16262031/2bhk-965-sqft-apartment","Porur","https://www.makaan.com/chennai-property/porur-flats-for-sale-50346","Urban Tree Infrastructures","https://www.makaan.com/urban-tree-infrastructures-profile-1931007"
"1.13 Cr","2343","Ready to move","4 - 5 years old","4 Bathrooms","4","https://www.makaan.com/chennai/olympia-group-opaline-sequel-in-navallur-16142372/4bhk-4t-2343-sqft-apartment","Navallur","https://www.makaan.com/chennai-property/navallur-flats-for-sale-50352","Olympia Group","https://www.makaan.com/olympia-group-profile-100084988"
"18 L","353","Under Construction","Possession by Nov 2023","New","1","https://www.makaan.com/chennai/vijay-raja-homes-vrx-360-in-thirumazhisai-16125585/1bhk-353-sqft-apartment","Thirumazhisai","https://www.makaan.com/chennai-property/thirumazhisai-flats-for-sale-51626","Vijay Raja Homes Private Limited","https://www.makaan.com/vijay-raja-homes-private-limited-profile-100145026"
"2.24 Cr","1450","Under Construction","Possession by Dec 2021","New","3","https://www.makaan.com/chennai/kamalam-builders-vilasam-in-anna-nagar-16216049/3bhk-1450-sqft-apartment","Anna Nagar","https://www.makaan.com/chennai-property/anna-nagar-flats-for-sale-50379","Kamalam Builder Pvt Ltd","https://www.makaan.com/kamalam-builder-pvt-ltd-profile-100101692"
"1 Cr","1833","Ready to move","1 year old","New","3","https://www.makaan.com/chennai/appaswamy-real-estates-splendour-in-sholinganallur-16264062/3bhk-1833-sqft-apartment","Sholinganallur","https://www.makaan.com/chennai-property/sholinganallur-flats-for-sale-50307","Appaswamy Real Estate","https://www.makaan.com/appaswamy-real-estate-profile-1917897"
"45.99 L","920","Under Construction","Possession by Dec 2022","New","2","https://www.makaan.com/chennai/vnr-homes-belmont-in-vanagaram-16087702/2bhk-920-sqft-apartment","Vanagaram","https://www.makaan.com/chennai-property/vanagaram-flats-for-sale-52061","VNR Homes","https://www.makaan.com/vnr-homes-profile-1681897"
"73.75 L","1405","Under Construction","Possession by Sep 2021","New","3","https://www.makaan.com/chennai/ps-srijan-developers-chennai-nexterra-phase-2-in-sholinganallur-16095560/3bhk-1405-sqft-apartment","Sholinganallur","https://www.makaan.com/chennai-property/sholinganallur-flats-for-sale-50307","PS Srijan Developers","https://www.makaan.com/ps-srijan-developers-profile-2195372"
"4.55 Cr","2601","Under Construction","Possession by May 2023","New","4","https://www.makaan.com/chennai/lifestyle-housing-the-podium-in-t-nagar-16059347/4bhk-2601-sqft-apartment","T Nagar","https://www.makaan.com/chennai-property/t-nagar-flats-for-sale-51618","Lifestyle Housing","https://www.makaan.com/lifestyle-housing-profile-100348028"
"3.91 Cr","2475","Under Construction","Possession by Feb 2023","New","4","https://www.makaan.com/chennai/puravankara-limited-somerset-house-in-guindy-16175402/4bhk-2475-sqft-apartment","Guindy","https://www.makaan.com/chennai-property/guindy-flats-for-sale-51869","Puravankara Limited","https://www.makaan.com/puravankara-limited-profile-2006858"
"80.73 L","1242","Under Construction","Possession by Nov 2021","New","2","https://www.makaan.com/chennai/jones-foundations-blazia-in-madipakkam-16040052/2bhk-1242-sqft-apartment","Madipakkam","https://www.makaan.com/chennai-property/madipakkam-flats-for-sale-51142","Jones Foundations","https://www.makaan.com/jones-foundations-profile-2040617"
"31.96 L","969","Ready to move","0 - 1 year old","New","2","https://www.makaan.com/chennai/plaza-group-elite-acres-phase-i-in-perumbakkam-16087745/2bhk-969-sqft-apartment","Perumbakkam","https://www.makaan.com/chennai-property/perumbakkam-flats-for-sale-51151","Plaza Group","https://www.makaan.com/plaza-group-profile-100351934"
"81.3 L","937","Under Construction","Possession by Jun 2022","New","2","https://www.makaan.com/chennai/urbando-housing-orion-in-velachery-16191816/2bhk-937-sqft-apartment","Velachery","https://www.makaan.com/chennai-property/velachery-flats-for-sale-50306","Urbando Housing LLP","https://www.makaan.com/urbando-housing-llp-profile-100099343"
"72.05 L","1310","Under Construction","Possession by Nov 2021","New","3","https://www.makaan.com/chennai/ek-realtors-alpha-in-medavakkam-16308805/3bhk-1310-sqft-apartment","Medavakkam","https://www.makaan.com/chennai-property/medavakkam-flats-for-sale-50288","EK Realtors","https://www.makaan.com/ek-realtors-profile-100143142"
"91.36 L","1340","Ready to move","1 - 2 years old","Grfloor","3","https://www.makaan.com/chennai/the-nest-builders-adore-in-gowrivakkam-10061066/3bhk-1340-sqft-apartment","Gowrivakkam","https://www.makaan.com/chennai-property/gowrivakkam-flats-for-sale-51854","The Nest Builder","https://www.makaan.com/the-nest-builder-profile-1856022"
"50.76 L","1045","Ready to move","0 - 1 year old","2 Bathrooms","2","https://www.makaan.com/chennai/doshi-housing-first-nest-in-chromepet-16058685/2bhk-2t-1045-sqft-apartment","Chromepet","https://www.makaan.com/chennai-property/chromepet-flats-for-sale-50286","Doshi Housing","https://www.makaan.com/doshi-housing-profile-100054913"
"62.75 L","1004","Under Construction","Possession by May 2022","New","2","https://www.makaan.com/chennai/grand-style-constructions-wides-in-sholinganallur-16233792/2bhk-1004-sqft-apartment","Sholinganallur","https://www.makaan.com/chennai-property/sholinganallur-flats-for-sale-50307","Grandstyle constructions","https://www.makaan.com/grandstyle-constructions-profile-616881"
